999,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,14,23,29,34,44,71,86,86,89,87,80,43,40,38,20,16,8
1,0,9,15,19,30,56,71,72,75,78,85,58,54,52,35,30,22
2,0,0,6,10,20,47,62,62,65,69,75,67,64,62,44,40,31
3,0,0,0,4,14,41,56,56,59,63,69,73,70,68,50,46,37
4,0,0,0,0,10,36,51,52,55,58,65,78,74,72,55,50,42
5,0,0,0,0,0,26,41,41,45,48,54,88,84,83,65,61,52
6,0,0,0,0,0,0,15,15,18,21,28,65,68,70,88,87,79
7,0,0,0,0,0,0,0,0,3,6,13,49,53,55,72,77,85
8,0,0,0,0,0,0,0,0,3,6,13,49,53,55,72,77,85
9,0,0,0,0,0,0,0,0,0,3,9,46,50,51,69,73,82
10,0,0,0,0,0,0,0,0,0,0,6,43,46,48,66,70,78
11,0,0,0,0,0,0,0,0,0,0,0,36,40,42,59,64,72
12,0,0,0,0,0,0,0,0,0,0,0,0,3,5,22,27,35
13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,23,32
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,30
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
