0.0,21.0,0.3684210526315789
1.0,39.0,0.6842105263157895
2.0,30.0,0.5263157894736842
3.0,25.0,0.43859649122807015
4.0,34.0,0.5964912280701754
5.0,19.0,0.3333333333333333
6.0,25.0,0.43859649122807015
7.0,30.0,0.5263157894736842
8.0,15.0,0.2631578947368421
9.0,30.0,0.5263157894736842
10.0,19.0,0.3333333333333333
11.0,42.0,0.7368421052631579
12.0,33.0,0.5789473684210527
13.0,25.0,0.43859649122807015
14.0,34.0,0.5964912280701754
15.0,30.0,0.5263157894736842
16.0,44.0,0.7719298245614035
17.0,9.0,0.15789473684210525
18.0,16.0,0.2807017543859649
19.0,24.0,0.42105263157894735
20.0,43.0,0.7543859649122807
21.0,38.0,0.6666666666666666
22.0,44.0,0.7719298245614035
23.0,18.0,0.3157894736842105
24.0,50.0,0.8771929824561403
